Year	Race	JRelative
2015	API	-0.5640715538818679
2015	API	-0.32109504293077784
2015	White	-0.0852648999488375
2015	White	-0.6283888656042153
2014	API	-0.11927277596820762
2015	White	-0.4668935074489608
2015	API	-0.535486082005269
2015	White	-0.2710704671467299
2014	API	0.31035026014486183
2015	API	-0.2895842547545335
2014	White	0.5487641543893828
2015	API	-0.585510657789317
2014	API	0.9333036625088126
2014	White	0.2745483404687727
2015	API	-0.6426816015425146
2014	API	0.35331256375616876
2015	API	-0.36397325074567605
2015	API	0.1148334031873543
2015	API	-0.5595422379478108
2014	API	1.2698417074640502
2015	API	-0.24248499527013107
2015	API	-0.23533862730098135
2015	White	0.06480882740330635
2015	White	-0.3535216718266254
2015	White	-0.6426816015425146
2015	White	0.7204637697219877
2014	API	0.2502466922024044
2015	API	-0.3925587226222749
2014	API	0.016774518800931042
2015	API	-0.2639240991775802
2015	API	0.13627250709480343
2014	API	1.330556940804482
2014	API	0.13134066176441622
2015	White	-0.24248499527013107
2015	API	-0.3838796480905707
2015	API	-0.6927061773265626
2015	API	-0.1924604194860831
2017	API	-0.20518608484950765
2015	API	-0.4425832984063229
2015	API	-0.4859878710501117
2014	API	0.9046621267679412
2015	API	-0.6320299836258465
2015	White	-0.5537384907802819
2015	White	-0.7632241112290532
2015	API	-0.5537384907802819
2015	API	0.5485753159423323
2014	API	1.0662606101997296
2014	API	-0.14791431170907893
2014	White	-0.4145588493246799
2014	White	0.11701989389398058
2014	API	0.54664293000705
2014	White	-0.061162183249092596
2014	White	1.0585918382990265
2014	API	1.484507391050549
2014	API	0.6526141563625741
2015	White	-0.43463958494315047
2014	White	-0.1112425591046514
2015	White	-0.38166311300639655
2015	API	-0.20256645279560034
2015	White	-0.46259220231822973
2014	API	-0.03334816874559373
2015	API	0.9911786765775953
2015	API	0.503052769297863
2015	API	-0.13112203203886752
2015	API	-0.22215687098264925
2015	White	-0.36397325074567605
2015	White	-0.5941593176232471
2015	White	-0.2334070796460177
2015	API	-0.6498279695116643
2015	White	-0.20675315542438252
2015	White	0.6663049376017361
2015	API	0.1947072059465572
2015	White	-0.19815489465445824
2014	API	0.5261973973596231
2014	White	-0.022865449298120826
2015	API	0.07013454815128717
2014	White	0.03187579859108742
2015	API	-0.30320571367447524
2014	White	0.47981220657276996
2015	White	-0.10857142857142858
2013	White	0.9076466694451935
2015	API	0.14303128809427068
2015	White	-0.25913846990080175
2013	API	0.32925413381771884
2015	White	-0.020697811945594256
2015	API	-0.6346058243282137
2014	API	-0.017140653619974903
2015	White	-0.15445187726790252
2014	White	-0.15999988207338575
2015	White	-0.5680559603614107
2014	API	0.09469571000997665
2015	API	-0.7284380171723112
2015	API	-0.10003928244074896
2015	White	-0.35390754905221156
2015	API	-0.51231698525939
2015	White	-0.5719816918121716
2015	API	-0.7427307531106105
2012	API	-0.47828234190186925
2015	API	-0.3530736304950992
2015	White	-0.6250664775748981
2015	API	0.046058926391500964
2009	White	-0.22544718191022617
2015	White	-0.16823752492227045
2015	API	-0.5363570149616096
2015	White	-0.6426816015425146
2015	White	-0.23455518945634268
