Country	InDelta_Citation_ij	Year	Field
White	0.792028505160024	2003.0	134018914
API	0.8067258127717263	2003.0	134018914
Black	-0.5505099724495641	2004.0	134018914
Hispanic	-0.1027530005723332	2004.0	134018914
White	0.8816091488402916	2004.0	134018914
API	0.8017530841463263	2004.0	134018914
Black	-0.834994925030615	2005.0	134018914
Hispanic	-0.3817172567088336	2005.0	134018914
White	0.5978366857564194	2005.0	134018914
API	0.5608308235072021	2005.0	134018914
Black	-0.432227418557664	2006.0	134018914
Hispanic	-0.0855531382829126	2006.0	134018914
White	0.877647424205299	2006.0	134018914
API	0.8845595070674961	2006.0	134018914
Black	-0.4733644949131872	2007.0	134018914
Hispanic	-0.1252182016406238	2007.0	134018914
White	0.865258168862344	2007.0	134018914
API	0.8514893727968792	2007.0	134018914
Black	-0.5691225911742281	2008.0	134018914
Hispanic	-0.1540441670697689	2008.0	134018914
White	0.8037518551364949	2008.0	134018914
API	0.7801424960034171	2008.0	134018914
Black	-0.4447782732081496	2009.0	134018914
Hispanic	-0.052686942690039	2009.0	134018914
White	0.9045582465342152	2009.0	134018914
API	0.869596277425177	2009.0	134018914
Black	-0.5277471256987363	2010.0	134018914
Hispanic	-0.1142716519747679	2010.0	134018914
White	0.823255164380525	2010.0	134018914
API	0.779625623649672	2010.0	134018914
Black	-0.7079737626878837	2011.0	134018914
Hispanic	-0.2749227749819039	2011.0	134018914
White	0.7408784344421222	2011.0	134018914
API	0.6974510806448883	2011.0	134018914
Black	-0.9030302472998344	2012.0	134018914
Hispanic	-0.4153197331662747	2012.0	134018914
White	0.4891598030321556	2012.0	134018914
API	0.4631826080360411	2012.0	134018914
Black	-0.697733396804675	2013.0	134018914
Hispanic	-0.2040477684550631	2013.0	134018914
White	0.7146761228334191	2013.0	134018914
API	0.6885592552224302	2013.0	134018914
Black	-0.5481916418860939	2014.0	134018914
Hispanic	-0.0483267233341177	2014.0	134018914
White	0.872162227168045	2014.0	134018914
API	0.8287823710759561	2014.0	134018914
Black	-0.6682594674469187	2015.0	134018914
Hispanic	-0.1180777461981991	2015.0	134018914
White	0.7898478117558136	2015.0	134018914
API	0.7964658731841296	2015.0	134018914
Black	-0.6949125415302831	2016.0	134018914
Hispanic	-0.1451511348909245	2016.0	134018914
White	0.81180951710514	2016.0	134018914
API	0.7699277055090278	2016.0	134018914
Black	-0.4850029430315906	2017.0	134018914
Hispanic	0.0267147001327795	2017.0	134018914
White	0.9124570951721016	2017.0	134018914
API	0.9152993302047312	2017.0	134018914
API	0.6188342154827277	1980.0	142724271
White	1.1378631574326452	1980.0	142724271
Black	-1.2645251924180891	1980.0	142724271
Hispanic	-0.4921721804972858	1980.0	142724271
API	0.7508378989920207	1981.0	142724271
White	1.1190045355308451	1981.0	142724271
Black	-1.6325176372827157	1981.0	142724271
Hispanic	-0.2373247972401505	1981.0	142724271
API	0.4824873713431302	1982.0	142724271
White	0.8515836294467878	1982.0	142724271
Black	-0.7837406869177631	1982.0	142724271
Hispanic	-0.5503303138721566	1982.0	142724271
API	0.348985331782959	1983.0	142724271
White	0.9697936819156197	1983.0	142724271
Black	-0.7857344546164025	1983.0	142724271
Hispanic	-0.5330445590821755	1983.0	142724271
API	0.5629253623262586	1984.0	142724271
White	0.860801697876331	1984.0	142724271
Black	-0.93145786609063	1984.0	142724271
