FieldName	Year	Race
Chemistry	2012	White
Medicine	2012	White
Biology	2012	White
Chemistry	2012	White
Medicine	2012	White
Biology	2012	White
Chemistry	2012	White
Medicine	2012	White
Biology	2012	White
Chemistry	2012	White
Biology	2012	White
Chemistry	2012	White
Biology	2012	White
Chemistry	2012	White
Biology	2012	White
Biology	2012	White
Biology	2012	White
Chemistry	2012	White
Biology	2012	White
Chemistry	2012	White
Mathematics	2012	White
Computer science	2012	White
Mathematics	2012	White
Computer science	2012	White
Physics	2015	White
Materials science	2015	White
Physics	2015	White
Materials science	2015	White
Medicine	2015	White
Biology	2015	White
Chemistry	2015	White
Medicine	2015	White
Biology	2015	White
Chemistry	2015	White
Engineering	2011	White
Mathematics	2011	White
Engineering	2011	White
Mathematics	2011	White
Medicine	2016	API
Biology	2016	API
Engineering	2016	API
Biology	2020	API
Chemistry	2020	API
Biology	2020	API
Chemistry	2020	API
Biology	2020	API
Chemistry	2020	API
Biology	2020	API
Chemistry	2020	API
Biology	2020	API
Chemistry	2020	API
Biology	2020	API
Chemistry	2020	API
Medicine	2015	API
Biology	2015	API
Medicine	2015	API
Biology	2015	API
Medicine	2015	API
Biology	2015	API
Medicine	2015	API
Biology	2015	API
Medicine	2015	API
Biology	2015	API
Medicine	2015	API
Biology	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2013	API
Chemistry	2013	API
Biology	2013	API
Chemistry	2013	API
Biology	2013	API
Chemistry	2013	API
Biology	2013	API
Chemistry	2013	API
Biology	2013	API
Chemistry	2013	API
Biology	2013	API
Chemistry	2013	API
Biology	2013	API
Chemistry	2013	API
Biology	2013	API
Chemistry	2013	API
Biology	2011	API
Chemistry	2011	API
Biology	2015	API
Chemistry	2015	API
Biology	2019	API
Chemistry	2019	API
Biology	2019	API
Chemistry	2019	API
Biology	2020	API
Chemistry	2020	API
Physics	2020	API
Biology	2018	API
Chemistry	2018	API
Biology	2018	API
Chemistry	2018	API
Biology	2013	API
Chemistry	2013	API
Physics	2013	API
Biology	2013	API
Chemistry	2013	API
Biology	2013	API
Chemistry	2013	API
Medicine	2017	API
Biology	2017	API
Chemistry	2017	API
Biology	2016	API
Chemistry	2016	API
Medicine	2016	API
Biology	2016	API
Chemistry	2016	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Physics	2012	API
Medicine	2018	API
Biology	2018	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2011	API
Chemistry	2011	API
Biology	2011	API
Chemistry	2011	API
Medicine	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Biology	2015	API
Chemistry	2015	API
Medicine	2017	API
Biology	2017	API
Chemistry	2017	API
Biology	2014	API
Geology	2014	API
Chemistry	2014	API
Computer science	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2016	API
Geology	2016	API
Chemistry	2016	API
Biology	2016	API
Geology	2016	API
Chemistry	2016	API
Biology	2016	API
Chemistry	2016	API
Physics	2016	API
Biology	2016	API
Chemistry	2016	API
Physics	2016	API
Biology	2019	API
Chemistry	2019	API
Biology	2019	API
Chemistry	2019	API
Medicine	2011	White
Biology	2011	White
Chemistry	2011	White
Medicine	2011	White
Biology	2011	White
Chemistry	2011	White
Medicine	2011	White
Biology	2011	White
Chemistry	2011	White
Biology	2011	White
Chemistry	2011	White
Biology	2011	White
Chemistry	2011	White
Biology	2011	White
Chemistry	2011	White
Medicine	2011	White
Medicine	2011	White
Medicine	2011	White
Medicine	2011	White
History	2011	White
Geography	2011	White
Medicine	2011	White
History	2011	White
Geography	2011	White
Medicine	2011	White
History	2011	White
Geography	2011	White
Medicine	2011	White
Biology	2011	White
Medicine	2011	White
Biology	2011	White
Medicine	2011	White
Biology	2011	White
Medicine	2011	White
Biology	2011	White
Geology	2011	White
Chemistry	2011	White
Physics	2011	White
Materials science	2011	White
Medicine	2011	White
Biology	2011	White
Geology	2011	White
Chemistry	2011	White
Physics	2011	White
Materials science	2011	White
Medicine	2011	White
Biology	2011	White
Geology	2011	White
Chemistry	2011	White
Physics	2011	White
Materials science	2011	White
Medicine	2011	White
Medicine	2011	White
Medicine	2011	White
Medicine	2011	White
Biology	2011	White
Medicine	2011	White
Biology	2011	White
Medicine	2011	White
Biology	2011	White
Biology	2011	White
Geology	2011	White
Biology	2011	White
Geology	2011	White
Biology	2011	White
Geology	2011	White
Medicine	2011	White
Biology	2011	White
Medicine	2011	White
Biology	2011	White
Medicine	2011	White
Biology	2011	White
Medicine	2011	White
Biology	2011	White
Medicine	2011	White
Biology	2011	White
Medicine	2011	White
Biology	2011	White
Biology	2011	White
Chemistry	2011	White
Biology	2011	White
Chemistry	2011	White
Biology	2011	White
Chemistry	2011	White
Medicine	2015	API
Biology	2015	API
Geology	2015	API
Chemistry	2015	API
Medicine	2015	API
Biology	2015	API
Geology	2015	API
Chemistry	2015	API
Medicine	2016	White
Biology	2016	White
Chemistry	2016	White
Biology	2017	White
Biology	2017	White
Biology	2017	White
Geology	2017	White
Biology	2017	White
Geology	2017	White
Biology	2018	White
Economics	2018	White
Geography	2018	White
Environmental science	2018	White
Biology	2018	White
Economics	2018	White
Geography	2018	White
Environmental science	2018	White
Biology	2018	White
History	2018	White
Geography	2018	White
Biology	2018	White
History	2018	White
Geography	2018	White
Biology	2018	White
Geology	2018	White
Biology	2018	White
Geology	2018	White
Biology	2019	White
Geography	2019	White
Environmental science	2019	White
Biology	2019	White
Geography	2019	White
Environmental science	2019	White
Medicine	2019	White
Medicine	2019	White
Biology	2016	White
Biology	2016	White
Biology	2015	White
Geology	2015	White
History	2015	White
Geography	2015	White
Biology	2015	White
Geography	2015	White
Biology	2015	White
Biology	2015	White
History	2015	White
Geography	2015	White
Biology	2017	White
Chemistry	2017	White
Biology	2017	White
Chemistry	2017	White
Biology	2017	White
Chemistry	2017	White
Biology	2019	White
Chemistry	2019	White
Biology	2019	White
Chemistry	2019	White
Biology	2019	White
Chemistry	2019	White
Biology	2019	White
Chemistry	2019	White
Biology	2019	White
Chemistry	2019	White
Biology	2019	White
Chemistry	2019	White
Biology	2019	White
Chemistry	2019	White
Biology	2019	White
Chemistry	2019	White
Biology	2019	White
Chemistry	2019	White
Biology	2019	White
Chemistry	2019	White
Biology	2019	White
Biology	2019	White
Biology	2018	White
Chemistry	2018	White
Biology	2018	White
Chemistry	2018	White
Biology	2018	White
Chemistry	2018	White
Biology	2018	White
Chemistry	2018	White
Biology	2018	White
Chemistry	2018	White
Biology	2018	White
Chemistry	2018	White
Biology	2020	White
Chemistry	2020	White
Physics	2020	White
Biology	2020	White
Chemistry	2020	White
Biology	2013	API
Biology	2013	API
Biology	2013	API
Biology	2011	API
Chemistry	2011	API
Biology	2011	API
Chemistry	2011	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2012	API
Chemistry	2012	API
Biology	2019	API
Chemistry	2019	API
Biology	2019	API
Chemistry	2019	API
Biology	2019	API
Chemistry	2019	API
Biology	2018	API
Chemistry	2018	API
Physics	2018	API
Biology	2018	API
Chemistry	2018	API
Physics	2018	API
Biology	2018	API
Chemistry	2018	API
Physics	2018	API
Biology	2018	API
Chemistry	2018	API
Physics	2018	API
Biology	2018	API
Chemistry	2018	API
Physics	2018	API
Biology	2018	API
Chemistry	2018	API
Physics	2018	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2014	API
Chemistry	2014	API
Biology	2017	API
Chemistry	2017	API
Biology	2017	API
Chemistry	2017	API
Chemistry	2014	API
Physics	2014	API
Chemistry	2014	API
Physics	2014	API
Chemistry	2014	API
Physics	2014	API
Medicine	2014	Hispanic
Biology	2014	Hispanic
Chemistry	2014	Hispanic
Medicine	2014	Hispanic
Biology	2014	Hispanic
Chemistry	2014	Hispanic
Psychology	2014	Hispanic
Materials science	2014	Hispanic
Medicine	2014	Hispanic
Biology	2014	Hispanic
Medicine	2014	Hispanic
Biology	2014	Hispanic
Medicine	2014	Hispanic
Biology	2014	Hispanic
Physics	2015	Hispanic
Materials science	2015	Hispanic
Physics	2017	Hispanic
Engineering	2017	Hispanic
Materials science	2017	Hispanic
